Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 46
St. Lucia,362,Financial Development Index,FD_FD_IX,Value,0.323960661888123,0.268215119838715,0.2794329226017,0.297598958015442,0.277281910181046,0.261618703603745,0.242577895522118,0.264860779047012,0.297433286905289,0.319351404905319,0.304845690727234,0.308320194482803,0.294307082891464,0.324044436216354,0.334629356861115,0.323436141014099,0.330804228782654,0.331017792224884,0.352936416864395,0.335748136043549,0.340513795614243,0.342658132314682,0.338006108999252,0.320935547351837,0.338648468255997,0.340314537286758,0.344086736440659,0.353089779615402,0.353120893239975,0.336178421974182,0.34078449010849,0.338529109954834,0.334258645772934,0.328747421503067,0.323990732431412,0.307774692773819,0.284289836883545,0.304860025644302,0.306857049465179,0.323986798524857,0.327964037656784,
St. Vincent and the Grenadines,364,Financial Development Index,FD_FD_IX,Value,0.180735662579536,0.185680747032166,0.166889861226082,0.174899682402611,0.146866664290428,0.150810465216637,0.139974966645241,0.144182875752449,0.153717458248138,0.148407891392708,0.136996924877167,0.143016919493675,0.140175119042397,0.133320942521095,0.138100698590279,0.157328695058823,0.158654242753983,0.162969693541527,0.164333373308182,0.168527647852898,0.175410002470016,0.169350668787956,0.166219100356102,0.165265947580338,0.172396123409271,0.190847009420395,0.192180037498474,0.198481857776642,0.184355139732361,0.22165447473526,0.19354160130024,0.196167841553688,0.190602943301201,0.202543586492538,0.200479224324226,0.197214961051941,0.19146828353405,0.196322038769722,0.196879476308823,0.201519504189491,0.202366501092911,
Suriname,366,Financial Development Index,FD_FD_IX,Value,0.13271751999855,0.139747709035873,0.150381043553352,0.155640140175819,0.159865960478783,0.170325011014938,0.174610629677773,0.170058235526085,0.170058235526085,0.17881640791893,0.162413880228996,0.162726059556007,0.160809531807899,0.151772171258926,0.0986966416239738,0.0815479978919029,0.100982986390591,0.111977465450764,0.11961042881012,0.117619879543781,0.112140782177448,0.116214923560619,0.125482007861137,0.126277968287468,0.140203312039375,0.155404075980186,0.160489395260811,0.172105714678764,0.175939828157425,0.180781781673431,0.184321343898773,0.185435563325882,0.189141124486923,0.195563212037086,0.201421514153481,0.200859382748604,0.197388768196106,0.206371143460274,0.195767939090729,0.203814342617989,0.212310671806335,
Trinidad and Tobago,369,Financial Development Index,FD_FD_IX,Value,0.189845129847527,0.198765322566032,0.199148640036583,0.233500361442566,0.247595950961113,0.263687759637833,0.324133336544037,0.376942902803421,0.368857562541962,0.349714338779449,0.301862597465515,0.297735899686813,0.276111245155334,0.293512731790543,0.255224585533142,0.266049534082413,0.274563431739807,0.317408233880997,0.280961692333221,0.289974957704544,0.292141407728195,0.327017545700073,0.346418052911758,0.35082733631134,0.327741891145706,0.303946822881699,0.323960363864899,0.33655047416687,0.281142354011536,0.346592932939529,0.325793772935867,0.308102130889893,0.31996563076973,0.313393592834473,0.303119778633118,0.32820251584053,0.362172454595566,0.361647069454193,0.353878080844879,0.360132873058319,0.363662600517273,
Germany,134,Financial Development Index,FD_FD_IX,Value,0.391459792852402,0.403406232595444,0.407261431217194,0.450743466615677,0.452502518892288,0.502764105796814,0.531800150871277,0.583617150783539,0.557234525680542,0.559544026851654,0.592475473880768,0.583704054355621,0.57316792011261,0.609153270721436,0.6306431889534,0.632544875144959,0.521458566188812,0.700393438339233,0.754118084907532,0.77043092250824,0.762945234775543,0.74980092048645,0.72750449180603,0.739249169826508,0.753802597522736,0.760970413684845,0.782691061496735,0.774884939193726,0.736238598823547,0.754874467849731,0.740162432193756,0.724421441555023,0.734158992767334,0.713937938213348,0.715474188327789,0.739920496940613,0.715226709842682,0.71039617061615,0.724992692470551,0.701135277748108,0.745149970054626,
Indonesia,536,Financial Development Index,FD_FD_IX,Value,0.132802650332451,0.145659863948822,0.159699752926826,0.227242603898048,0.22170402109623,0.229439198970795,0.314217269420624,0.339023321866989,0.331710010766983,0.289358466863632,0.290383726358414,0.262524247169495,0.240952283143997,0.244472697377205,0.255583107471466,0.249025821685791,0.324867576360703,0.394880473613739,0.354717403650284,0.29854154586792,0.308124750852585,0.298993766307831,0.302520841360092,0.268293023109436,0.285225838422775,0.287062376737595,0.285611033439636,0.325835376977921,0.371191710233688,0.315849810838699,0.287813097238541,0.309033095836639,0.326727479696274,0.348256528377533,0.351495772600174,0.3524050116539,0.356759011745453,0.356111198663712,0.358722150325775,0.356250882148743,0.363282024860382,
Brunei Darussalam,516,Financial Development Index,FD_FD_IX,Value,0.0,0.0,0.0,0.0,0.0,0.0,0.0828226432204247,0.0826455950737,0.0827061757445335,0.0825703665614128,0.0824007913470268,0.0814539045095444,0.0814539045095444,0.0814539045095444,0.411180347204208,0.373482257127762,0.336296886205673,0.329790860414505,0.302760571241379,0.310431510210037,0.287446022033691,0.295932710170746,0.29817345738411,0.29700031876564,0.281948655843735,0.297964811325073,0.292302578687668,0.308573365211487,0.318217545747757,0.338388055562973,0.330360293388367,0.321657747030258,0.334110736846924,0.330341428518295,0.323832899332047,0.33312976360321,0.332846730947495,0.319524377584457,0.322335720062256,0.325521051883698,0.32281306385994,
Myanmar,518,Financial Development Index,FD_FD_IX,Value,0.10733000934124,0.109902992844582,0.105238795280457,0.105225346982479,0.0980643257498741,0.101743958890438,0.103004619479179,0.0961047112941742,0.0876800194382668,0.0629779472947121,0.0861208438873291,0.101542584598064,0.108264803886414,0.0939663797616959,0.0976688042283058,0.117480851709843,0.118418335914612,0.117402717471123,0.0924035608768463,0.100872591137886,0.103375785052776,0.0952699482440948,0.0954182371497154,0.0922227650880814,0.092743881046772,0.107533246278763,0.0937195271253586,0.094746008515358,0.0914378464221954,0.102124378085136,0.0820854976773262,0.0950380116701126,0.0961752757430077,0.108578942716122,0.112197212874889,0.0964049398899078,0.105385698378086,0.113202705979347,0.121566191315651,0.118372224271297,0.119169898331165,
Sri Lanka,524,Financial Development Index,FD_FD_IX,Value,0.150129914283752,0.164919972419739,0.175241082906723,0.178271248936653,0.160199001431465,0.173948347568512,0.180025190114975,0.196271672844887,0.19781681895256,0.17034724354744,0.155422896146774,0.139034420251846,0.159552708268166,0.166603446006775,0.17037895321846,0.185607075691223,0.193231761455536,0.198292538523674,0.199259877204895,0.189773991703987,0.196031674742699,0.198559686541557,0.220597386360168,0.245939984917641,0.221963435411453,0.248046606779099,0.24689319729805,0.248589336872101,0.248706236481667,0.239355131983757,0.277829647064209,0.282961338758469,0.256628155708313,0.26388755440712,0.268249690532684,0.263777762651443,0.260252147912979,0.268293142318726,0.267335742712021,0.261457711458206,0.263386428356171,
"China, P.R.: Hong Kong",532,Financial Development Index,FD_FD_IX,Value,0.391115516424179,0.386135548353195,0.365368008613586,0.3665412068367,0.366710305213928,0.404093086719513,0.520365238189697,0.631608486175537,0.509447157382965,0.545050144195557,0.527354896068573,0.492085546255112,0.528887152671814,0.540457606315613,0.610121190547943,0.571514427661896,0.599697172641754,0.735611975193024,0.671843707561493,0.671257793903351,0.696660280227661,0.71141791343689,0.690343379974365,0.718985795974731,0.743229150772095,0.742151081562042,0.748068034648895,0.770470142364502,0.781452655792236,0.756992220878601,0.769733786582947,0.787742435932159,0.740583539009094,0.750682532787323,0.751436948776245,0.788743376731873,0.748233139514923,0.758692741394043,0.790375113487244,0.75696861743927,0.779396295547485,
